road,way_id,seq,lat,lon,average_green
Morgraig Avenue,26794568,1,51.5537,-3.024673,0.1857875
Grosmont Way,26794584,1,51.553381,-3.026681,0.0834815
South Lake Drive,26795087,1,51.555877,-3.032137,0.3312305
North Lake Drive,26795088,1,51.55614,-3.032677,0.361598
Chirk Close,26805023,1,51.553339,-3.027352,0.148131
Bronllys Grove,26805024,1,51.551169,-3.026047,0.056621
Longtown Grove,26805026,1,51.552125,-3.023143,0.1097045
Dunraven Drive,26805028,1,51.553079,-3.026558,0.040842
Powis Close,26805030,1,51.55254,-3.027987,0.0359695
Powis Close,26805032,1,51.552514,-3.028095,0.074154
Lakeside Drive,26825573,1,51.56014,-3.037022,0.14063
Cleppa Park,26825623,1,51.561213,-3.036555,0.3575575
Cleppa Park,26825634,1,51.561408,-3.03685,0.450725
Cleppa Park,26825637,1,51.561203,-3.037107,0.3332445
Hazell Drive,26825906,1,51.557437,-3.045467,0.00012
Brunel Avenue,26825966,1,51.591634,-3.042338,0.5868155
Taliesin Close,26825968,1,51.592921,-3.048071,0.254657
Taliesin Drive,26825974,1,51.591897,-3.044308,0.1395425
Stevenson Close,26826008,1,51.594141,-3.049429,0.224286
Jessop Close,26826011,1,51.591335,-3.045679,0.091282
Hawksmoor Close,26826028,1,51.5919,-3.046018,0.114829
Brunel Avenue,26826032,1,51.591151,-3.04708,0.066526
Squires Gate,26826038,1,51.592914,-3.050607,0.1610595
Squires Gate,26826041,1,51.592293,-3.049765,0.215276
Squires Gate,26826043,1,51.592536,-3.048562,0.150398
Squires Gate,26826044,1,51.591801,-3.047774,0.0495705
Bala Drive,26826049,1,51.597319,-3.049198,0.1159725
Llangorse Drive,26826055,1,51.597125,-3.048779,0.133507
Wood Crescent,26826069,1,51.596757,-3.053945,0.1005885
Gaer Park Hill,26826115,1,51.577148,-3.021125,0.052316
Gaer Park Parade,26826118,1,51.577827,-3.025707,0.2779935
Gaer Park Road,26826124,1,51.576571,-3.024809,0.064071
Gaer Park Drive,26826128,1,51.575437,-3.025038,0.3386355
Gaer Park Avenue,26826134,1,51.577141,-3.025405,0.158123
Gaer Park Lane,26826138,1,51.579942,-3.022535,0.143047
Jane Austen Close,26826161,1,51.572057,-3.019837,0.168027
Burns Close,26826173,1,51.571852,-3.022123,0.395084
Dickens Drive,26826189,1,51.572833,-3.022104,0.072987
Kipling Hill,26826221,1,51.575526,-3.020107,0.218202
Shaw Grove,26826229,1,51.573701,-3.021679,0.1265885
Pepys Grove,26826232,1,51.574277,-3.023004,0.1012715
Ben Jonson Way,26826233,1,51.575425,-3.021873,0.104542
Melbourne Way,26826248,1,51.579472,-3.032301,0.136842
Canberra Crescent,26826258,1,51.582156,-3.027019,0.2324465
Hobart Close,26826265,1,51.582821,-3.025061,0.266143
Vancouver Drive,26826270,1,51.578625,-3.031351,0.1191945
Chartist Drive,26826279,1,51.586107,-3.05248,0.1237535
Joyce Close,26901701,1,51.574905,-3.024944,0.162593
Collins Close,26901705,1,51.574304,-3.024359,0.085232
Cowper Close,26901706,1,51.573818,-3.024619,0.1216685
Hazlitt Close,26901711,1,51.572417,-3.019904,0.145641
Scott Close,26901713,1,51.57218,-3.022347,0.37068
